HLCIT CODE,Municipality,Pcode,District,0_14,15_49,50+,Total
524 1 10 4 006,Aamchowk,NP,Bhojpur,"9,263","13,264","3,879","26,406"
524 4 41 4 001,Aandhikhola,NP,Syangja,"4,454","5,650","1,913","12,017"
524 4 36 4 006,Aarughat,NP,Gorkha,"3,491","4,187","1,482","9,160"
524 6 61 3 001,Aathabis,NP,Dailekh,"5,780","7,469","2,557","15,806"
524 6 52 3 001,Aathbiskot,NP,Rukum West,"5,028","5,535","1,985","12,548"
524 1 08 4 003,Aathrai,NP,Terhathum,"4,266","4,990","1,781","11,037"
524 1 01 4 006,Aathrai Tribeni,NP,Taplejung,"5,056","6,332","2,396","13,784"
524 2 17 4 003,Aaurahi,NP,Dhanusha,"4,811","6,313","2,467","13,591"
524 6 66 4 007,Adanchuli,NP,Humla,"4,482","5,684","1,933","12,099"
524 2 33 4 009,Adarshkotwal,NP,Bara,"16,976","24,775","7,450","49,201"
524 7 70 4 001,Adharsha,NP,Doti,"8,133","10,906","3,874","22,913"
524 2 15 4 002,Agnisair Krishna Savaran,NP,Saptari,"6,415","8,735","3,131","18,281"
524 1 12 4 001,Ainselukhark,NP,Khotang,"7,513","10,737","3,634","21,884"
524 7 73 4 002,Ajaymeru,NP,Dadeldhura,"5,612","7,545","2,961","16,118"
524 4 36 4 002,Ajirkot,NP,Gorkha,"8,503","11,319","4,238","24,060"
524 7 73 4 004,Alital,NP,Dadeldhura,"4,990","6,191","2,238","13,419"
524 7 73 3 002,Amargadhi,NP,Dadeldhura,"8,609","11,508","4,498","24,615"
524 4 40 4 005,Anbukhaireni,NP,Tanahu,"9,994","17,320","5,613","32,927"
524 4 39 4 001,Annapurna,NP,Kaski,"13,895","26,579","8,062","48,536"
524 4 44 4 003,Annapurna,NP,Myagdi,"15,053","31,559","10,095","56,707"
524 7 75 4 003,Apihimal,NP,Darchula,"11,004","16,611","4,961","32,576"
524 4 41 4 003,Arjunchaupari,NP,Syangja,"7,004","10,904","3,711","21,619"
524 1 04 3 004,Arjundhara,NP,Jhapa,"4,381","8,532","3,152","16,065"
524 2 16 4 003,Arnama,NP,Siraha,"5,877","11,247","3,920","21,044"
524 1 10 4 003,Arun,NP,Bhojpur,"6,540","10,606","3,674","20,820"
524 2 18 3 003,Aurahi,NP,Mahottari,"5,643","10,212","3,280","19,135"
524 2 16 4 004,Aurahi,NP,Siraha,"6,243","9,243","3,017","18,503"
524 5 55 4 007,Ayirabati,NP,Pyuthan,"21,790","41,728","11,584","75,102"
524 5 56 4 001,Babai,NP,Dang,"19,316","33,200","12,080","64,596"
524 5 58 4 002,Badhaiyatal,NP,Bardiya,"12,231","20,701","7,209","40,141"
524 4 43 4 003,Badigad,NP,Baglung,"17,569","32,085","10,551","60,205"
524 7 70 4 006,Badikedar,NP,Doti,"32,335","60,558","18,844","111,737"
524 7 68 3 002,Badimalika,NP,Bajura,"15,834","26,745","10,454","53,033"
524 6 53 3 002,Bagchaur,NP,Salyan,"24,540","45,764","11,574","81,878"
524 4 43 3 003,Baglung,NP,Baglung,"19,330","34,884","11,319","65,533"
524 3 25 4 001,Bagmati,NP,Lalitpur,"11,670","22,467","7,448","41,585"
524 3 31 4 008,Bagmati,NP,Makawanpur,"11,168","16,622","5,244","33,034"
524 2 19 3 001,Bagmati,NP,Sarlahi,"12,870","22,682","8,813","44,365"
524 5 46 4 005,Bagnaskali,NP,Palpa,"12,910","16,708","4,983","34,601"
524 2 34 3 002,Bahudaramai,NP,Parsa,"11,093","16,898","5,662","33,653"
524 5 57 4 002,Baijanath,NP,Banke,"8,921","14,704","5,308","28,933"
524 3 22 4 004,Baiteshwor,NP,Dolakha,"13,995","19,403","6,140","39,538"
524 3 31 4 007,Bakaiya,NP,Makawanpur,"62,964","120,763","30,936","214,663"
524 2 15 4 004,Balan Bihul,NP,Saptari,"10,480","16,123","5,450","32,053"
524 2 19 3 011,Balara,NP,Sarlahi,"24,533","42,481","13,504","80,518"
524 3 23 4 006,Balefi,NP,Sindhupalchok,"19,878","33,865","12,149","65,892"
524 2 18 3 007,Balwa,NP,Mahottari,"18,705","30,967","11,460","61,132"
524 4 40 4 004,Bandipur,NP,Tanahu,"16,554","28,638","9,504","54,696"
524 3 24 3 002,Banepa,NP,Kabhrepalanchok,"16,987","25,958","9,068","52,013"
