munid,provinceId,districtId,HLCIT CODE,Municipality,Pcode,District,Province,0_14,15_49,50+,Total
96,1,10,524 1 10 4 006,Aamchowk Gaunpalika,NP,Bhojpur,Province 1,"9,263","13,264","3,879","26,406"
432,4,39,524 4 41 4 001,Aandhikhola Gaunpalika,NP,Syangja,Gandaki Province,"4,454","5,650","1,913","12,017"
403,4,36,524 4 36 4 006,Aarughat Gaunpalika,NP,Gorkha,Gandaki Province,"3,491","4,187","1,482","9,160"
618,6,60,524 6 61 3 001,Aathabis Nagarpalika,NP,Dailekh,Karnali Province,"5,780","7,469","2,557","15,806"
564,6,54,524 6 52 3 001,Aathbiskot Nagarpalika,NP,Rukum West,Karnali Province,"5,028","5,535","1,985","12,548"
80,1,8,524 1 08 4 003,Aathrai Gaunpalika,NP,Terhathum,Province 1,"4,266","4,990","1,781","11,037"
1,1,1,524 1 01 4 006,Aathrai Tribeni Gaunpalika,NP,Taplejung,Province 1,"5,056","6,332","2,396","13,784"
176,2,17,524 2 17 4 003,Aaurahi Gaunpalika,NP,Dhanusha,Province 2,"4,811","6,313","2,467","13,591"
665,6,66,524 6 66 4 007,Adanchuli Gaunpalika,NP,Humla,Karnali Province,"4,482","5,684","1,933","12,099"
363,2,33,524 2 33 4 009,Adarshkotwal Gaunpalika,NP,Bara,Province 2,"16,976","24,775","7,450","49,201"
706,7,70,524 7 70 4 001,Adharsha Gaunpalika,NP,Doti,Sudurpaschim Province,"8,133","10,906","3,874","22,913"
140,2,15,524 2 15 4 002,Agnisair Krishna Savaran Gaunpalika,NP,Saptari,Province 2,"6,415","8,735","3,131","18,281"
121,1,13,524 1 12 4 001,Ainselukhark Gaunpalika,NP,Khotang,Province 1,"7,513","10,737","3,634","21,884"
739,7,73,524 7 73 4 002,Ajaymeru Gaunpalika,NP,Dadeldhura,Sudurpaschim Province,"5,612","7,545","2,961","16,118"
404,4,36,524 4 36 4 002,Ajirkot Gaunpalika,NP,Gorkha,Gandaki Province,"8,503","11,319","4,238","24,060"
740,7,73,524 7 73 4 004,Alital Gaunpalika,NP,Dadeldhura,Sudurpaschim Province,"4,990","6,191","2,238","13,419"
741,7,73,524 7 73 3 002,Amargadhi Nagarpalika,NP,Dadeldhura,Sudurpaschim Province,"8,609","11,508","4,498","24,615"
422,4,38,524 4 40 4 005,Anbukhaireni Gaunpalika,NP,Tanahu,Gandaki Province,"9,994","17,320","5,613","32,927"
443,4,40,524 4 39 4 001,Annapurna Gaunpalika,NP,Kaski,Gandaki Province,"13,895","26,579","8,062","48,536"
457,4,43,524 4 44 4 003,Annapurna Gaunpalika,NP,Myagdi,Gandaki Province,"15,053","31,559","10,095","56,707"
756,7,75,524 7 75 4 003,Apihimal Gaunpalika,NP,Darchula,Sudurpaschim Province,"11,004","16,611","4,961","32,576"
433,4,39,524 4 41 4 003,Arjunchaupari Gaunpalika,NP,Syangja,Gandaki Province,"7,004","10,904","3,711","21,619"
28,1,4,524 1 04 3 004,Arjundhara Nagarpalika,NP,Jhapa,Province 1,"4,381","8,532","3,152","16,065"
159,2,16,524 2 16 4 003,Arnama Gaunpalika,NP,Siraha,Province 2,"5,877","11,247","3,920","21,044"
97,1,10,524 1 10 4 003,Arun Gaunpalika,NP,Bhojpur,Province 1,"6,540","10,606","3,674","20,820"
160,2,16,524 2 16 4 004,Aurahi Gaunpalika,NP,Siraha,Province 2,"6,243","9,243","3,017","18,503"
194,2,18,524 2 18 3 003,Aurahi Nagarpalika,NP,Mahottari,Province 2,"5,643","10,212","3,280","19,135"
544,5,52,524 5 55 4 007,Ayirabati Gaunpalika,NP,Pyuthan,Province 5,"21,790","41,728","11,584","75,102"
581,5,56,524 5 56 4 001,Babai Gaunpalika,NP,Dang,Province 5,"19,316","33,200","12,080","64,596"
599,5,58,524 5 58 4 002,Badhaiyatal Gaunpalika,NP,Bardiya,Province 5,"12,231","20,701","7,209","40,141"
471,4,45,524 4 43 4 003,Badigad Gaunpalika,NP,Baglung,Gandaki Province,"17,569","32,085","10,551","60,205"
707,7,70,524 7 70 4 006,Badikedar Gaunpalika,NP,Doti,Sudurpaschim Province,"32,335","60,558","18,844","111,737"
672,7,67,524 7 68 3 002,Badimalika Nagarpalika,NP,Bajura,Sudurpaschim Province,"15,834","26,745","10,454","53,033"
571,6,55,524 6 53 3 002,Bagchaur Nagarpalika,NP,Salyan,Karnali Province,"24,540","45,764","11,574","81,878"
472,4,45,524 4 43 3 003,Baglung Nagarpalika,NP,Baglung,Gandaki Province,"19,330","34,884","11,319","65,533"
280,3,25,524 3 25 4 001,Bagmati Gaunpalika,NP,Lalitpur,Bagmati Province,"11,670","22,467","7,448","41,585"
333,3,31,524 3 31 4 008,Bagmati Gaunpalika,NP,Makawanpur,Bagmati Province,"11,168","16,622","5,244","33,034"
209,2,19,524 2 19 3 001,Bagmati Nagarpalika,NP,Sarlahi,Province 2,"12,870","22,682","8,813","44,365"
494,5,47,524 5 46 4 005,Bagnaskali Gaunpalika,NP,Palpa,Province 5,"12,910","16,708","4,983","34,601"
380,2,34,524 2 34 3 002,Bahudaramai Nagarpalika,NP,Parsa,Province 2,"11,093","16,898","5,662","33,653"
591,5,57,524 5 57 4 002,Baijanath Gaunpalika,NP,Banke,Province 5,"8,921","14,704","5,308","28,933"
246,3,22,524 3 22 4 004,Baiteshwor Gaunpalika,NP,Dolakha,Bagmati Province,"13,995","19,403","6,140","39,538"
334,3,31,524 3 31 4 007,Bakaiya Gaunpalika,NP,Makawanpur,Bagmati Province,"62,964","120,763","30,936","214,663"
141,2,15,524 2 15 4 004,Balan Bihul Gaunpalika,NP,Saptari,Province 2,"10,480","16,123","5,450","32,053"
210,2,19,524 2 19 3 011,Balara Nagarpalika,NP,Sarlahi,Province 2,"24,533","42,481","13,504","80,518"
255,3,23,524 3 23 4 006,Balefi Gaunpalika,NP,Sindhupalchok,Bagmati Province,"19,878","33,865","12,149","65,892"
195,2,18,524 2 18 3 007,Balwa Nagarpalika,NP,Mahottari,Province 2,"18,705","30,967","11,460","61,132"
423,4,38,524 4 40 4 004,Bandipur Gaunpalika,NP,Tanahu,Gandaki Province,"16,554","28,638","9,504","54,696"
267,3,24,524 3 24 3 002,Banepa Nagarpalika,NP,Kabhrepalanchok,Bagmati Province,"16,987","25,958","9,068","52,013"
565,6,54,524 6 52 4 002,Banfikot Gaunpalika,NP,Rukum West,Karnali Province,"18,067","25,041","7,650","50,758"
572,6,55,524 6 53 3 001,Bangad Kupinde Nagarpalika,NP,Salyan,Karnali Province,"18,285","27,394","9,701","55,380"
528,5,50,524 5 49 3 003,Banganga Nagarpalika,NP,Kapilbastu,Province 5,"10,221","14,791","5,419","30,431"
582,5,56,524 5 56 4 005,Banglachuli Gaunpalika,NP,Dang,Province 5,"9,427","14,343","4,938","28,708"
695,7,69,524 7 69 4 003,Bannigadhi Jayagadh Gaunpalika,NP,Achham,Sudurpaschim Province,"11,800","18,803","7,430","38,033"
600,5,58,524 5 58 3 006,Bansagadhi Nagarpalika,NP,Bardiya,Province 5,"12,546","23,355","5,685","41,586"
364,2,33,524 2 33 4 006,Baragadhi Gaunpalika,NP,Bara,Province 2,"8,616","18,460","5,641","32,717"
60,1,6,524 1 06 3 001,Barah Nagarpalika,NP,Sunsari,Province 1,"13,672","21,050","5,053","39,775"
122,1,13,524 1 12 4 007,Barahapokhari Gaunpalika,NP,Khotang,Province 1,"15,814","20,621","5,384","41,819"
211,2,19,524 2 19 3 004,Barahathawa Nagarpalika,NP,Sarlahi,Province 2,"14,395","19,534","5,465","39,394"
609,6,59,524 6 59 4 002,Barahtal Gaunpalika,NP,Surkhet,Karnali Province,"37,287","78,888","21,530","137,705"
602,5,58,524 5 58 3 005,Barbardiya Nagarpalika,NP,Bardiya,Province 5,"41,879","79,019","19,619","140,517"
504,5,48,524 5 47 3 002,Bardaghat Nagarpalika,NP,Nawalparasi West,Province 5,"25,394","37,840","14,173","77,407"
716,7,71,524 7 71 4 005,Bardagoriya Gaunpalika,NP,Kailali,Sudurpaschim Province,"15,168","27,606","8,948","51,722"
196,2,18,524 2 18 3 001,Bardibas Nagarpalika,NP,Mahottari,Province 2,"21,493","32,584","9,516","63,593"
608,5,58,524 5 58 5 097,Bardiya National Park 5,NP,Bardiya,Province 5,"18,086","31,064","7,066","56,216"
629,6,61,524 6 60 4 003,Barekot Gaunpalika,NP,Jajarkot,Karnali Province,"18,511","20,242","4,873","43,626"
473,4,45,524 4 43 4 006,Bareng Gaunpalika,NP,Baglung,Gandaki Province,"17,396","18,432","4,681","40,509"
256,3,23,524 3 23 3 003,Barhabise Nagarpalika,NP,Sindhupalchok,Bagmati Province,"11,499","18,176","5,177","34,852"
29,1,4,524 1 04 4 005,Barhadashi Gaunpalika,NP,Jhapa,Province 1,"17,778","17,976","5,092","40,846"
452,4,42,524 4 45 4 003,Barhagaun Muktikhsetra Gaunpalika,NP,Mustang,Gandaki Province,"13,282","16,781","5,010","35,073"
